Age,CO2,Proxy
201.8,2242,PALEOSOLS (d13C)
201.9,2253,PALEOSOLS (d13C)
202.1,2263,PALEOSOLS (d13C)
202.6,1597,PALEOSOLS (d13C)
202.8,2420,PALEOSOLS (d13C)
203.3,2230,PALEOSOLS (d13C)
203.5,1947,PALEOSOLS (d13C)
203.9,2914,PALEOSOLS (d13C)
204.1,1532,PALEOSOLS (d13C)
204.4,2782,PALEOSOLS (d13C)
204.6,2141,PALEOSOLS (d13C)
204.6,2960,PALEOSOLS (d13C)
204.7,3036,PALEOSOLS (d13C)
205.9,3237,PALEOSOLS (d13C)
205.9,3156,PALEOSOLS (d13C)
207.2,2944,PALEOSOLS (d13C)
207.3,3413,PALEOSOLS (d13C)
207.5,4086,PALEOSOLS (d13C)
207.8,3758,PALEOSOLS (d13C)
207.9,3763,PALEOSOLS (d13C)
208.1,4430,PALEOSOLS (d13C)
208.3,4430,PALEOSOLS (d13C)
208.4,4248,PALEOSOLS (d13C)
209.2,4787,PALEOSOLS (d13C)
210.0,4134,PALEOSOLS (d13C)
210.3,3443,PALEOSOLS (d13C)
210.8,3908,PALEOSOLS (d13C)
211.6,2435,PALEOSOLS (d13C)
211.6,3355,PALEOSOLS (d13C)
211.9,2913,PALEOSOLS (d13C)
213.1,3953,PALEOSOLS (d13C)
215.0,4792,PALEOSOLS (d13C)
215.0,4632,PALEOSOLS (d13C)
215.1,4685,PALEOSOLS (d13C)
215.2,5584,PALEOSOLS (d13C)
215.3,5094,PALEOSOLS (d13C)
215.4,4827,PALEOSOLS (d13C)
215.6,4670,PALEOSOLS (d13C)
215.6,4699,PALEOSOLS (d13C)
215.7,4861,PALEOSOLS (d13C)
216.0,3705,PALEOSOLS (d13C)
216.2,4151,PALEOSOLS (d13C)
218.2,4775,PALEOSOLS (d13C)
218.8,4198,PALEOSOLS (d13C)
222.0,4098,PALEOSOLS (d13C)
222.3,3487,PALEOSOLS (d13C)
222.4,4534,PALEOSOLS (d13C)
223.2,3941,PALEOSOLS (d13C)
224.3,4563,PALEOSOLS (d13C)
225.8,3821,PALEOSOLS (d13C)
226.2,4954,PALEOSOLS (d13C)
226.6,4774,PALEOSOLS (d13C)
227.1,5352,PALEOSOLS (d13C)
229.3,4980,PALEOSOLS (d13C)
229.7,3668,PALEOSOLS (d13C)
231.0,3775,PALEOSOLS (d13C)
231.4,4846,PALEOSOLS (d13C)
232.0,3214,PALEOSOLS (d13C)
232.2,4326,PALEOSOLS (d13C)
100.0,746,PALEOSOLS (d13C)
102.5,886,PALEOSOLS (d13C)
111.5,996,PALEOSOLS (d13C)
113.5,1335,PALEOSOLS (d13C)
115.5,986,PALEOSOLS (d13C)
116.0,1071,PALEOSOLS (d13C)
116.5,1190,PALEOSOLS (d13C)
119.4,1179,PALEOSOLS (d13C)
1.0,244,PALEOSOLS (d13C)
1.1,214,PALEOSOLS (d13C)
1.2,335,PALEOSOLS (d13C)
1.2,217,PALEOSOLS (d13C)
1.2,193,PALEOSOLS (d13C)
1.3,141,PALEOSOLS (d13C)
1.3,157,PALEOSOLS (d13C)
1.3,196,PALEOSOLS (d13C)
1.4,194,PALEOSOLS (d13C)
1.4,192,PALEOSOLS (d13C)
1.4,192,PALEOSOLS (d13C)
1.4,194,PALEOSOLS (d13C)
1.5,239,PALEOSOLS (d13C)
1.5,210,PALEOSOLS (d13C)
1.5,303,PALEOSOLS (d13C)
1.6,282,PALEOSOLS (d13C)
1.6,230,PALEOSOLS (d13C)
1.6,247,PALEOSOLS (d13C)
1.6,207,PALEOSOLS (d13C)
1.7,239,PALEOSOLS (d13C)
1.8,230,PALEOSOLS (d13C)
1.9,307,PALEOSOLS (d13C)
1.9,252,PALEOSOLS (d13C)
2.1,299,PALEOSOLS (d13C)
2.1,300,PALEOSOLS (d13C)
2.1,278,PALEOSOLS (d13C)
2.2,338,PALEOSOLS (d13C)
2.3,387,PALEOSOLS (d13C)
2.3,342,PALEOSOLS (d13C)
2.3,405,PALEOSOLS (d13C)
2.6,400,PALEOSOLS (d13C)
2.6,385,PALEOSOLS (d13C)
221.9,6,PALEOSOLS (d13C)
220.1,215,PALEOSOLS (d13C)
214.7,355,PALEOSOLS (d13C)
213.5,443,PALEOSOLS (d13C)
213.3,500,PALEOSOLS (d13C)
213.2,546,PALEOSOLS (d13C)
213.1,501,PALEOSOLS (d13C)
213.0,523,PALEOSOLS (d13C)
212.7,170,PALEOSOLS (d13C)
212.6,738,PALEOSOLS (d13C)
212.5,1463,PALEOSOLS (d13C)
212.4,522,PALEOSOLS (d13C)
212.2,713,PALEOSOLS (d13C)
212.1,708,PALEOSOLS (d13C)
212.0,10,PALEOSOLS (d13C)
211.7,683,PALEOSOLS (d13C)
211.5,643,PALEOSOLS (d13C)
211.4,749,PALEOSOLS (d13C)
211.3,128,PALEOSOLS (d13C)
211.2,182,PALEOSOLS (d13C)
211.2,616,PALEOSOLS (d13C)
211.1,726,PALEOSOLS (d13C)
210.9,-127,PALEOSOLS (d13C)
210.7,-194,PALEOSOLS (d13C)
210.4,219,PALEOSOLS (d13C)
210.1,420,PALEOSOLS (d13C)
209.9,1080,PALEOSOLS (d13C)
209.9,777,PALEOSOLS (d13C)
